ID,Scanner,Volume,Area,3D_model
CTC_313,Artec.Spider,149072.62,19531.32,TRUE
CTC_32,Artec.Spider,12312.2,3787.96,TRUE
CTC_321,Artec.Spider,540.03,527.41,TRUE
CTC_322,Artec.Spider,336.81,302.06,TRUE
CTC_323,Artec.Spider,442.11,423.36,TRUE
CTC_324,Artec.Spider,2056.5,1079.2,TRUE
CTC_325,Artec.Spider,3549.71,1729.98,TRUE
CTC_326,Artec.Spider,3006.24,1354.29,TRUE
CTC_327,Artec.Spider,823.68,597.8,TRUE
CTC_328,Artec.Spider,1162.51,849.11,TRUE
CTC_329,Artec.Spider,1225.04,915.56,TRUE
CTC_33,Artec.Spider,14390.77,4296.51,TRUE
CTC_330,Artec.Spider,650.76,618.33,TRUE
CTC_331,Artec.Spider,472.73,459.8,TRUE
CTC_332,Artec.Spider,1713.57,1010.66,TRUE
CTC_333,Artec.Spider,1673.18,936.43,TRUE
CTC_334,Artec.Spider,1527.18,919.92,TRUE
CTC_335,Artec.Spider,3082.81,1528.99,TRUE
CTC_336,Artec.Spider,2202.06,1050.91,TRUE
CTC_337,Artec.Spider,2331.35,1181.74,TRUE
CTC_338,Artec.Spider,4325.74,1802.68,TRUE
CTC_339,Artec.Spider,2757.46,1361.79,TRUE
CTC_34,Artec.Spider,23846.12,5427.73,TRUE
CTC_340,Artec.Spider,3893.53,1647.3,TRUE
CTC_341,Artec.Spider,1420.29,779.36,TRUE
CTC_342,Artec.Spider,6798.58,2750.33,TRUE
CTC_343,Artec.Spider,7085.63,2369.43,TRUE
CTC_344,Artec.Spider,3737.51,1715.36,TRUE
CTC_345,Artec.Spider,3319.92,1659.17,TRUE
CTC_347,Artec.Spider,4199.76,1892.26,TRUE
CTC_348,Artec.Spider,908.11,620.69,TRUE
CTC_349,Artec.Spider,1075.6,782.28,TRUE
CTC_35,Artec.Spider,5413.78,1895.4,TRUE
CTC_350,Artec.Spider,2246.17,1107.6,TRUE
CTC_351,Artec.Spider,4675.44,2252.08,TRUE
CTC_352,Artec.Spider,1669.82,1001.29,TRUE
CTC_353,Artec.Spider,1150.48,686.1,TRUE
CTC_354,Artec.Spider,2160.58,1283.95,TRUE
CTC_355,Artec.Spider,3096.02,1376.42,TRUE
CTC_356,Artec.Spider,2975.92,1492.86,TRUE
CTC_357,Artec.Spider,1944.52,1130.37,TRUE
CTC_358,Artec.Spider,1409.52,783.51,TRUE
CTC_359,Artec.Spider,942.25,826.78,TRUE
CTC_36,Artec.Spider,8227.4,2661.49,TRUE
CTC_360,Artec.Spider,1187.67,832.85,TRUE
CTC_361,Artec.Spider,1249.71,957.25,TRUE
CTC_362,Artec.Spider,1426.9,886.69,TRUE
CTC_365,Artec.Spider,436.09,438.67,TRUE
CTC_366,Artec.Spider,615.99,441.86,TRUE
CTC_367,Artec.Spider,3058.49,1667.8,TRUE
CTC_368,Artec.Spider,1489.65,963.1,TRUE
CTC_369,Artec.Spider,827.8,638.09,TRUE
CTC_37,Artec.Spider,21900.18,5157.52,TRUE
CTC_370,Artec.Spider,6094.63,2560.99,TRUE
CTC_371,Artec.Spider,12188.34,3391.42,TRUE
CTC_372,Artec.Spider,5869.9,2260.15,TRUE
CTC_375,Artec.Spider,5433.83,2552.62,TRUE
CTC_376,Artec.Spider,6309.06,2196.03,TRUE
CTC_377,Artec.Spider,8552.39,3019.39,TRUE
CTC_378,Artec.Spider,15896.45,3977.22,TRUE
CTC_379,Artec.Spider,8942.08,2901.89,TRUE
CTC_38,Artec.Spider,16382.51,3992.1,TRUE
CTC_39,Artec.Spider,7424.88,2365.13,TRUE
CTC_4,Artec.Spider,8674.84,2441.29,TRUE
CTC_40,Artec.Spider,13722.15,4598.81,TRUE
CTC_41,Artec.Spider,9801.63,3339.06,TRUE
CTC_42,Artec.Spider,5152.38,2245.85,TRUE
CTC_43,Artec.Spider,5843.29,2297.17,TRUE
CTC_44,Artec.Spider,4529.38,2391.85,TRUE
CTC_45,Artec.Spider,2378.17,1446.29,TRUE
CTC_46,Artec.Spider,1263.11,1190.27,TRUE
CTC_48,Artec.Spider,14911.86,3900.76,TRUE
CTC_49,Artec.Spider,7448.24,2432.35,TRUE
CTC_5,Artec.Spider,18245.88,4387.41,TRUE
CTC_50,Artec.Spider,8403.6,2629.01,TRUE
CTC_51,Artec.Spider,5706.39,2166.43,TRUE
CTC_52,Artec.Spider,1484.35,966.75,TRUE
CTC_53,Artec.Spider,9285.22,3232.63,TRUE
CTC_54,Artec.Spider,3460.93,1935.14,TRUE
