ID,Layer,Raw_material,Fire,Patina,Cortex,Cortex_position,Class,Blank,Blank_extended,Blank_technology,Technology,Bipolar_blank,Preservation,Length,Width,Thickness,Elongation,Robustness,Platform_width,Platform_thickness,Platform_ratio,Platform_type,Platform_shape,Dorsal_thinning,Bulbar_scars,Bulb,Bulb_type,Lip,Lip_type,Curvature,Torsion,Torsion_simplified,Off.axis,Section,Blank_shape,Scar_pattern,Scar_pattern_2,Distal_end,Plunging,Bladelet_negatives,Typology_simplified,Typology,Retouch_position,Dorsal_ret_localization,Ventral_ret_localization,Retouch_left_right,Retouch_uni_bilateral,Retouch_length
CTC_575,gic,Fine-grained chert,FALSE,FALSE,0%,NA,Blank,Bladelet,Flakelet,Carinated,Optimal,FALSE,Complete,7.5,3.799999952,1.299999952,1.973684235,2.923076994,0.100000001,0.100000001,1,Punctiform,Punctiform,FALSE,FALSE,FALSE,NA,TRUE,Moderate,Straight,0,no,FALSE,Triangular,Convergent,Unidirectional convergent,Unidirectional convergent,Pointed,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_576,rsa',Fine-grained chert,FALSE,FALSE,0%,NA,Blank,Bladelet,Bladelet,Dihedral,Initialization,FALSE,Complete,32.59999847,9.699999809,8,3.360824651,1.212499976,10,6,1.666666667,Plain,Rectangular,FALSE,FALSE,TRUE,Moderate,FALSE,NA,Straight,0,no,FALSE,Trapezoidal,Sub-parallel,Unidirectional parallel,Unidirectional parallel,Straight,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_577,rsa',Fine-grained chert,FALSE,FALSE,1-33%,NA,Blank,Bladelet,Bladelet,Cortical,Semi-cortical,TRUE,Complete,25.60000038,11.39999962,4.099999905,2.245614144,2.780487777,1.700000048,0.100000001,17.00000022,Linear,Linear,FALSE,TRUE,TRUE,Moderate,FALSE,NA,Straight,0,no,FALSE,Lateral steep,Irregular,Unidirectional parallel,Unidirectional parallel,Straight,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_578,rsa',Fine-grained chert,FALSE,FALSE,0%,NA,Blank,Bladelet,Bladelet,Cortical,Optimal,TRUE,Complete,23.29999924,6.5,6.099999905,3.584615267,1.065573787,1.5,0.5,3,Linear,Linear,FALSE,FALSE,FALSE,NA,FALSE,NA,Straight,0,no,FALSE,Trapezoidal,Sub-parallel,Unidirectional parallel,Unidirectional parallel,Straight,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_579,rsa',Quartzite,FALSE,FALSE,0%,NA,Blank,Bladelet,Bladelet,Optimal production,Optimal,FALSE,Complete,29.20000076,9.5,4.900000095,3.073684291,1.938775472,6.599999905,4.400000095,1.499999946,Plain,Oval,FALSE,FALSE,TRUE,Pronounced,FALSE,NA,Straight,0,no,FALSE,Trapezoidal,Convergent,Unidirectional convergent,Unidirectional convergent,Convex,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_580,rsa',Fine-grained chert,FALSE,FALSE,1-33%,Proximal,Blank,Bladelet,Bladelet,Dihedral,Initialization,FALSE,Complete,29,10.69999981,7.199999809,2.710280422,1.486111124,8.800000191,4.800000191,1.8333333,Cortical,Triangular,FALSE,FALSE,TRUE,Moderate,FALSE,NA,Straight,0,no,FALSE,Triangular,Convergent,Unidirectional convergent,Unidirectional convergent,Pointed,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_581,rsa',Fine-grained chert,FALSE,FALSE,0%,NA,Blank,Bladelet,Bladelet,Optimal production,Optimal,FALSE,Complete,17.5,5.900000095,3,2.966101647,1.966666698,3.799999952,2.400000095,1.583333251,Plain,Triangular,FALSE,FALSE,FALSE,NA,TRUE,Pronounced,Straight,0,no,FALSE,Trapezoidal,Irregular,Unidirectional convergent,Unidirectional convergent,Pointed,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_582,rsa',Fine-grained chert,FALSE,FALSE,0%,NA,Blank,Blade,Blade,Second-crest,Maintenance,FALSE,Distal,44,13,8.199999809,3.384615385,1.585365891,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,Curved,0,no,FALSE,Trapezoidal,Sub-parallel,Unidirectional parallel + crossed,NA,Pointed,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_583,rsa',Fine-grained chert,FALSE,FALSE,33-66%,Left;Proximal,Blank,Bladelet,Bladelet,Carinated,Semi-cortical,FALSE,Complete,11.10000038,4.5,1.799999952,2.466666751,2.500000066,2,1.100000024,1.818181779,Plain,Triangular,FALSE,FALSE,FALSE,NA,TRUE,Moderate,Straight,0,no,FALSE,Trapezoidal,Sub-parallel,Unidirectional parallel,Unidirectional parallel,Convex,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_584,rsa',Coarse-grained chert,FALSE,FALSE,0%,NA,Blank,Blade,Blade,Second-crest,Maintenance,FALSE,Complete,51.20000076,16.89999962,6.900000095,3.029585912,2.449275273,12,3.099999905,3.870967861,Plain,Winged,FALSE,FALSE,TRUE,Moderate,FALSE,NA,Curved slightly,0,no,FALSE,Lateral steep,Sub-parallel,Unidirectional parallel + crossed,Other,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_585,rsa',Quartzite,FALSE,FALSE,0%,NA,Blank,Blade,Blade,Second-crest,Maintenance,FALSE,Proximal,22.70000076,13.10000038,3.799999952,1.732824435,3.447368565,3.900000095,0.699999988,5.571428803,Linear,Linear,FALSE,FALSE,FALSE,NA,TRUE,Moderate,Straight,0,no,FALSE,Lateral steep,NA,Unidirectional parallel + crossed,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
